"Year"	"Ntot"	"pN1"	"pNadf"	"pNadm"	"Area"	"nY"	"nAdf"	"nAdm"	"pRLN"	"nPrRLN"
"22"	2017	3249	"0.17"	"0.46"	"0.371"	"Setesdal Ryfylke"	22	31	1	"0.796"	43
"23"	2018	3280	"0.192"	"0.434"	"0.374"	"Setesdal Ryfylke"	53	69	53	"0.76"	133
"24"	2019	3479	"0.197"	"0.425"	"0.379"	"Setesdal Ryfylke"	32	59	43	"0.806"	108
"25"	2020	3637	"0.204"	"0.417"	"0.379"	"Setesdal Ryfylke"	55	47	41	"0.717"	104
"251"	2021	3637	"0.204"	"0.417"	"0.379"	"Setesdal Ryfylke"	29	92	107	"0.719"	166
"1617"	2017	2000	NA	NA	NA	"Setesdal Austhei"	1	0	1	"0.5"	1
"2018"	2018	2000	NA	NA	NA	"Setesdal Austhei"	16	8	9	"0.879"	29
"2019"	2019	2000	NA	NA	NA	"Setesdal Austhei"	11	7	5	"0.739"	17
"2020"	2020	2000	NA	NA	NA	"Setesdal Austhei"	16	15	11	"0.605"	26
"2021"	2021	2000	NA	NA	NA	"Setesdal Austhei"	24	35	40	"0.747"	74
"16171"	2017	60	NA	NA	NA	"Skaulen Etnefjell"	2	0	0	"0"	0
"20181"	2018	60	NA	NA	NA	"Skaulen Etnefjell"	5	2	4	"0.455"	5
"20191"	2019	60	NA	NA	NA	"Skaulen Etnefjell"	13	0	0	"0.692"	9
"20201"	2020	60	NA	NA	NA	"Skaulen Etnefjell"	16	4	6	"0.667"	18
"20211"	2021	60	NA	NA	NA	"Skaulen Etnefjell"	7	0	2	"0.778"	7
"16172"	2017	240	NA	NA	NA	"Våmur - Roan"	0	0	0	"0"	0
"20182"	2018	240	NA	NA	NA	"Våmur - Roan"	6	5	2	"1"	13
"20192"	2019	240	NA	NA	NA	"Våmur - Roan"	17	1	5	"0.708"	17
"20202"	2020	240	NA	NA	NA	"Våmur - Roan"	10	6	3	"0.684"	13
"20212"	2021	240	NA	NA	NA	"Våmur - Roan"	8	8	9	"0.8"	20
"16173"	2017	500	NA	NA	NA	"Brattefjell - Vindeggen"	2	5	0	"0.5"	4
"20183"	2018	500	NA	NA	NA	"Brattefjell - Vindeggen"	46	25	12	"0.718"	61
"20193"	2019	500	NA	NA	NA	"Brattefjell - Vindeggen"	55	13	5	"0.632"	48
"20203"	2020	500	NA	NA	NA	"Brattefjell - Vindeggen"	57	15	11	"0.729"	62
"20213"	2021	500	NA	NA	NA	"Brattefjell - Vindeggen"	32	15	5	"0.635"	33
"16174"	2017	140	NA	NA	NA	"Blefjell"	2	1	1	"0"	0
"20184"	2018	140	NA	NA	NA	"Blefjell"	8	2	0	"0.7"	7
"20194"	2019	140	NA	NA	NA	"Blefjell"	9	2	1	"0.923"	12
"20204"	2020	140	NA	NA	NA	"Blefjell"	7	5	3	"0.75"	12
"20214"	2021	140	NA	NA	NA	"Blefjell"	7	5	2	"1"	14
"16175"	2017	700	NA	NA	NA	"Norefjell - Reinsjøfjell"	70	41	46	"0.025"	4
"20185"	2018	700	NA	NA	NA	"Norefjell - Reinsjøfjell"	63	36	28	"0.701"	89
"20195"	2019	700	NA	NA	NA	"Norefjell - Reinsjøfjell"	35	24	11	"0.686"	48
"20205"	2020	700	NA	NA	NA	"Norefjell - Reinsjøfjell"	28	21	25	"0.595"	44
"20215"	2021	700	NA	NA	NA	"Norefjell - Reinsjøfjell"	26	18	22	"0.667"	44
"16176"	2017	12	NA	NA	NA	"Oksenhalvøya"	0	0	0	"0"	0
"20186"	2018	12	NA	NA	NA	"Oksenhalvøya"	0	0	0	"0"	0
"20196"	2019	12	NA	NA	NA	"Oksenhalvøya"	2	0	0	"0"	0
"20206"	2020	12	NA	NA	NA	"Oksenhalvøya"	0	0	0	"0"	0
"20216"	2021	12	NA	NA	NA	"Oksenhalvøya"	0	0	0	"0"	0
"16177"	2017	440	NA	NA	NA	"Fjellheimen"	9	6	15	"0.233"	7
"20187"	2018	440	NA	NA	NA	"Fjellheimen"	12	19	14	"0.822"	37
"20197"	2019	440	NA	NA	NA	"Fjellheimen"	30	19	11	"0.733"	44
"20207"	2020	440	NA	NA	NA	"Fjellheimen"	3	10	5	"0.944"	17
"20217"	2021	440	NA	NA	NA	"Fjellheimen"	0	2	9	"0.909"	10
"16178"	2017	120	NA	NA	NA	"Lærdal - Årdal"	0	0	3	"0.8"	4
"20188"	2018	120	NA	NA	NA	"Lærdal - Årdal"	2	0	11	"0.769"	10
"20198"	2019	120	NA	NA	NA	"Lærdal - Årdal"	0	0	8	"0.625"	5
"20208"	2020	120	NA	NA	NA	"Lærdal - Årdal"	0	0	13	"0.769"	10
"20218"	2021	120	NA	NA	NA	"Lærdal - Årdal"	0	0	0	"0"	0
"16179"	2017	400	NA	NA	NA	"Vest-Jotunheimen"	0	0	3	"0"	0
"20189"	2018	400	NA	NA	NA	"Vest-Jotunheimen"	3	0	37	"0.85"	34
"20199"	2019	400	NA	NA	NA	"Vest-Jotunheimen"	6	4	16	"0.731"	19
"20209"	2020	400	NA	NA	NA	"Vest-Jotunheimen"	5	6	7	"0.667"	12
